sample	temperature	time	knockout	replicate
25_0_Double.KD/KO_r1	25	0	Double.KD/KO	1
25_0_Double.KD/KO_r2	25	0	Double.KD/KO	2
25_0_Double.KD/KO_r3	25	0	Double.KD/KO	3
25_0_HSF1.KD_r1	25	0	HSF1.KD	1
25_0_HSF1.KD_r2	25	0	HSF1.KD	2
25_0_HSF1.KD_r3	25	0	HSF1.KD	3
25_0_MSN24.KO_r1	25	0	MSN24.KO	1
25_0_MSN24.KO_r2	25	0	MSN24.KO	2
25_0_MSN24.KO_r3	25	0	MSN24.KO	3
25_0_Wildtype_r1	25	0	Wildtype	1
25_0_Wildtype_r2	25	0	Wildtype	2
25_0_Wildtype_r3	25	0	Wildtype	3
37_10_Double.KD/KO_r1	37	10	Double.KD/KO	1
37_10_Double.KD/KO_r2	37	10	Double.KD/KO	2
37_10_Double.KD/KO_r3	37	10	Double.KD/KO	3
37_10_HSF1.KD_r1	37	10	HSF1.KD	1
37_10_HSF1.KD_r2	37	10	HSF1.KD	2
37_10_HSF1.KD_r3	37	10	HSF1.KD	3
37_10_MSN24.KO_r1	37	10	MSN24.KO	1
37_10_MSN24.KO_r2	37	10	MSN24.KO	2
37_10_MSN24.KO_r3	37	10	MSN24.KO	3
37_10_Wildtype_r1	37	10	Wildtype	1
37_10_Wildtype_r2	37	10	Wildtype	2
37_10_Wildtype_r3	37	10	Wildtype	3
37_30_Double.KD/KO_r1	37	30	Double.KD/KO	1
37_30_Double.KD/KO_r2	37	30	Double.KD/KO	2
37_30_Double.KD/KO_r3	37	30	Double.KD/KO	3
37_30_HSF1.KD_r1	37	30	HSF1.KD	1
37_30_HSF1.KD_r2	37	30	HSF1.KD	2
37_30_HSF1.KD_r3	37	30	HSF1.KD	3
37_30_MSN24.KO_r1	37	30	MSN24.KO	1
37_30_MSN24.KO_r2	37	30	MSN24.KO	2
37_30_MSN24.KO_r3	37	30	MSN24.KO	3
37_30_Wildtype_r1	37	30	Wildtype	1
37_30_Wildtype_r2	37	30	Wildtype	2
37_30_Wildtype_r3	37	30	Wildtype	3
42_10_Double.KD/KO_r1	42	10	Double.KD/KO	1
42_10_Double.KD/KO_r2	42	10	Double.KD/KO	2
42_10_Double.KD/KO_r3	42	10	Double.KD/KO	3
42_10_HSF1.KD_r1	42	10	HSF1.KD	1
42_10_HSF1.KD_r2	42	10	HSF1.KD	2
42_10_HSF1.KD_r3	42	10	HSF1.KD	3
42_10_MSN24.KO_r1	42	10	MSN24.KO	1
42_10_MSN24.KO_r2	42	10	MSN24.KO	2
42_10_MSN24.KO_r3	42	10	MSN24.KO	3
42_10_Wildtype_r1	42	10	Wildtype	1
42_10_Wildtype_r2	42	10	Wildtype	2
42_10_Wildtype_r3	42	10	Wildtype	3
42_30_Double.KD/KO_r1	42	30	Double.KD/KO	1
42_30_Double.KD/KO_r2	42	30	Double.KD/KO	2
42_30_Double.KD/KO_r3	42	30	Double.KD/KO	3
42_30_HSF1.KD_r1	42	30	HSF1.KD	1
42_30_HSF1.KD_r2	42	30	HSF1.KD	2
42_30_HSF1.KD_r3	42	30	HSF1.KD	3
42_30_MSN24.KO_r1	42	30	MSN24.KO	1
42_30_MSN24.KO_r2	42	30	MSN24.KO	2
42_30_MSN24.KO_r3	42	30	MSN24.KO	3
42_30_Wildtype_r1	42	30	Wildtype	1
42_30_Wildtype_r2	42	30	Wildtype	2
42_30_Wildtype_r3	42	30	Wildtype	3
